"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ed100k_vom_age,ed_100k,,text,"How old were you when you self-induced vomiting for the first time?",,,number,0,100,,"[ed100k_vomit] = '2' or [ed100k_vomit] = '3'",,,,,,
ed100k_vom_dur,ed_100k,,dropdown,"For how long did you self-induce vomiting?","1, Less than 1 month | 2, 1 to 2 months | 3, 3 to 5 months | 4, 6 to 12 months | 5, more than 1 year | -9, Don't know",,,,,,"[ed100k_vomit] = '2' or [ed100k_vomit] = '3'",,,,,,
ed100k_vom_freq,ed_100k,,dropdown,"During these periods, how often did you usually self-induce vomiting?","1, less than once a week | 2, at least once a week | 3, at least twice a week | 4, every day/nearly every day | -9, Don't know",,,,,,"[ed100k_vomit] = '2' or [ed100k_vomit] = '3'",,,,,,
ed100k_vom_current,ed_100k,,dropdown,"Do you still currently self-induce vomiting?","1, yes | 0, no",,,,,,"[ed100k_vomit] = '2' or [ed100k_vomit] = '3'",,,,,,
ed100k_vom_age_last,ed_100k,,text,"How old were you when you stopped self-inducing vomiting?  ",,,number,0,100,,"[ed100k_vomit] = '2' or [ed100k_vomit] = '3'
and [ed100k_vom_current] = '2'",,,,,,
ed100k_lax_lable,ed_100k,,descriptive,Laxatives,,,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_lax_age,ed_100k,,text,"How old were you when you used laxatives (including pills or liquids meant to stimulate bowel movements) for the first time?  ",,,number,0,100,,"[ed100k_laxatives] = '2' or [ed100k_laxatives] = '3'",,,,,,
ed100k_lax_dur,ed_100k,,dropdown,"For how long were you using laxatives (including pills or liquids meant to stimulate bowel movements)?","1, less than 1 month | 2, 1 to 2 months | 3, 3 to 5 months | 4, 6 to 12 months | 5, more than 1 year | -9, Don't know",,,,,,"[ed100k_laxatives] = '2' or [ed100k_laxatives] = '3'",,,,,,
ed100k_lax_freq,ed_100k,,dropdown,"During these periods, how often did you usually use laxatives (including pills or liquids meant to stimulate bowel movements) in a week?  ","1, less than once a week | 2, at least once a week | 3, at least twice a week | 4, every day/nearly every day | -9, Don't know",,,,,,"[ed100k_laxatives] = '2' or [ed100k_laxatives] = '3'",,,,,,
ed100k_lax_current,ed_100k,,dropdown,"Do you still currently use laxatives (including pills or liquids meant to stimulate bowel movements)?","1, yes | 0, no",,,,,,"[ed100k_laxatives] = '2' or [ed100k_laxatives] = '3'",,,,,,
ed100k_lax_last_age,ed_100k,,text,"How old were you when you stopped using laxatives (including pills or liquids meant to stimulate bowel movements)?  ",,,number,0,100,,"[ed100k_laxatives] = '2' or [ed100k_laxatives] = '3' 
and [ed100k_lax_current] = '0'",,,,,,
ed100k_water_lable,ed_100k,,descriptive,"Diuretics (Water Pills)",,,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_wp_age,ed_100k,,text,"How old were you when you used diuretics (water pills) for the first time?",,,number,0,100,,"[ed100k_diuretics] = '2' or [ed100k_diuretics] = '3'",,,,,,
ed100k_wp_dur,ed_100k,,dropdown,"For how long were you using diuretics (water pills)?   ","1, less than 1 month | 2, 1 to 2 months | 3, 3 to 5 months | 4, 6 to 12 months | 5, more than a year | -9, Don't know",,,,,,"[ed100k_diuretics] = '2' or [ed100k_diuretics] = '3'",,,,,,
ed100k_wp_freq,ed_100k,,dropdown,"During these periods, how often did you usually use diuretics (water pills) in a week?","1, less than once a week | 2, at least once a week | 3, at least twice a week | 4, every day/nearly every day | -9, Don't know",,,,,,"[ed100k_diuretics] = '2' or [ed100k_diuretics] = '3'",,,,,,
ed100k_wp_current,ed_100k,,dropdown,"Do you still currently use diuretics?  ","1, yes | 0, no",,,,,,"[ed100k_diuretics] = '2' or [ed100k_diuretics] = '3'",,,,,,
ed100k_wp_age_last,ed_100k,,text,"How old were you when you stopped using diuretics (water pills)?  ",,,number,0,100,,"[ed100k_diuretics] = '2' or [ed100k_diuretics] = '3' 
and [ed100k_wp_current] = '0'",,,,,,
ed_100k_pills_lable,ed_100k,,descriptive,"Diet Pills",,,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_dp_age,ed_100k,,text,"How old were you when you used diet pills (over the counter or prescription) for the first time?",,,number,0,100,,"[ed100k_dietpills] = '2' or [ed100k_dietpills] = '3'",,,,,,
ed100k_dp_dur,ed_100k,,dropdown,"For how long were you using diet pills (over the counter or prescription)?   ","1, less than 1 month | 2, 1 to 2 months | 3, 3 to 5 months | 4, 6 to 12 months | 5, more than a year | -9, Don't know",,,,,,"[ed100k_dietpills] = '2' or [ed100k_dietpills] = '3'",,,,,,
ed100k_dp_freq,ed_100k,,dropdown,"During these periods, how often did you usually use diet pills (over the counter or prescription) in a week?","1, less than once a week | 2, at least once a week | 3, at least twice a week | 4, every day/nearly every day | -9, Don't know",,,,,,"[ed100k_dietpills] = '2' or [ed100k_dietpills] = '3'",,,,,,
ed100k_dp_current,ed_100k,,dropdown,"Do you still currently use diet pills (over the counter or prescription)?  ","1, yes | 0, no",,,,,,"[ed100k_dietpills] = '2' or [ed100k_dietpills] = '3'",,,,,,
ed100k_dp_age_last,ed_100k,,text,"How old were you when you stopped using diet pills (over the counter or prescription)?  ",,,number,0,100,,"[ed100k_dietpills] = '2' or [ed100k_dietpills] = '3' 
and [ed100k_dp_current] = '0'",,,,,,
ed100k_dex_lable,ed_100k,,descriptive,"Driven Exercise",,,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_ex_compel,ed_100k,,dropdown,"Have you ever felt compelled to exercise - like you had to do it - to control your body shape or weight?","1, yes | 0, no | -9, Don't know",,,,,,"[ed100k_exercise] = '2' or [ed100k_exercise] = '3'",,,,,,
ed100k_ex_distress,ed_100k,,dropdown,"Have you ever felt uneasy or distressed if unable to exercise? ","1, yes | 0, no | -9, Don't know",,,,,,"[ed100k_exercise] = '2' or [ed100k_exercise] = '3'",,,,,,
ed100k_ex_friend,ed_100k,,dropdown,"Have there been times when you declined opportunities to be with friends in order to exercise?  ","1, yes | 0, no | -9, Don't Know",,,,,,"[ed100k_ex_compel] = '1' or [ed100k_ex_distress] = '1'",,,,,,
ed100k_ex_ill,ed_100k,,dropdown,"Have you exercised despite an injury or illness that would have prevented others from exercising?","1, yes | 0, no | -9, Don't Know",,,,,,"[ed100k_ex_compel] = '1' or [ed100k_ex_distress] = '1'",,,,,,
ed100k_ex_diet,ed_100k,,dropdown,"Have there been times when you modified your diet/eating habits if you were unable to exercise for any reason? ","1, yes | 0, no | -9, Don't Know",,,,,,"[ed100k_ex_compel] = '1' or [ed100k_ex_distress] = '1'",,,,,,
ed100k_ex_age,ed_100k,,text,"How old were you when you first exercised to control your weight and shape AND felt either compelled to exercise or distressed if unable to exercise? ",,,number,0,100,,"[ed100k_ex_compel] = '1' or [ed100k_ex_distress] = '1'",,,,,,
ed100k_ex_dur,ed_100k,,dropdown,"For how long did you feel compelled to exercise or felt distressed if unable to exercise?  ","1, less than 1 month | 2, 1 to 2 months | 3, 3 to 5 months | 4, 6 to 12 months | 5, more than a year | -9, Don't know",,,,,,"[ed100k_ex_compel] = '1' or [ed100k_ex_distress] = '1'",,,,,,
ed100k_ex_freq,ed_100k,,dropdown,"During these periods, how frequently did you exercise excessively in a week?","1, less than once a week | 2, at least once a week | 3, at least twice a week | 4, every day/nearly every day | -9, Don't know",,,,,,"[ed100k_ex_compel] = '1' or [ed100k_ex_distress] = '1'",,,,,,
ed100k_ex_current,ed_100k,,dropdown,"Do you currently exercise to control weight and shape AND feel compelled to exercise or distressed if unable to exercise?  ","1, yes | 0, no",,,,,,"[ed100k_exercise] = '3' or [ed100k_exercise] = '2'",,,,,,
ed100k_ex_age_last,ed_100k,,text,"How old were you when you stopped exercising to control your weight and shape AND felt either compelled to exercise or distressed if unable to exercise?  ",,,number,0,100,,"[ed100k_ex_compel] = '1' or [ed100k_ex_distress] = '1' 
and [ed100k_ex_current] = '0'",,,,,,
ed100k_fasting_lable,ed_100k,,descriptive,Fasting,,,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_fast_age,ed_100k,,text,"How old were you when you fasted for the first time? Fasting is not eating for 8 waking hours or more.",,,number,0,100,,"[ed100k_fast] = '2' or [ed100k_fast] = '3'",,,,,,
ed100k_fast_dur,ed_100k,,dropdown,"For what period of time did you engage in periods of fasting? Fasting is not eating for 8 waking hours or more.","1, less than 1 month | 2, 1 to 2 months | 3, 3 to 5 months | 4, 6 to 12 months | 5, more than a year | -9, Don't know",,,,,,"[ed100k_fast] = '2' or [ed100k_fast] = '3'",,,,,,
ed100k_fast_freq,ed_100k,,dropdown,"During these periods, how often did you usually fast in a week? Fasting is not eating for 8 waking hours or more.","1, less than once a week | 2, at least once a week | 3, at least twice a week | 4, every day/nearly every day | -9, Don't know",,,,,,"[ed100k_fast] = '2' or [ed100k_fast] = '3'",,,,,,
ed100k_fast_current,ed_100k,,dropdown,"Do you still currently fast? Fasting is not eating for 8 waking hours or more","1, yes | 0, no",,,,,,"[ed100k_fast] = '2' or [ed100k_fast] = '3'",,,,,,
ed100k_fast_age_last,ed_100k,,text,"How old were you when you stopped fasting?  ",,,number,0,100,,"[ed100k_fast] = '2' or [ed100k_fast] = '3' 
and [ed100k_fast_current] = '0'",,,,,,
idss_slender,ideal_body_stereotype_scale_revised,"How much do you agree with these statements:",radio,"Slender women are more attractive.","1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree",,,,,,,y,,,,,
idss_in_shape,ideal_body_stereotype_scale_revised,,radio,"Women who are in shape are more attractive.","1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree",,,,,,,y,,,,,
idss_tall,ideal_body_stereotype_scale_revised,,radio,"Tall women are more attractive.","1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree",,,,,,,y,,,,,
idss_lean,ideal_body_stereotype_scale_revised,,radio,"Women with toned (lean) bodies are more attractive.","1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree",,,,,,,y,,,,,
idss_shapely,ideal_body_stereotype_scale_revised,,radio,"Shapely women are more attractive.","1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree",,,,,,,y,,,,,
idss_long_legs,ideal_body_stereotype_scale_revised,,radio,"Women with long legs are more attractive.","1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree",,,,,,,y,,,,,
tmfs_self_eval,tmfs,,radio,"I consider myself as...","1, Totally Masculine | 2, Masculine | 3, Somewhat Masculine | 4, Neither Masculine nor Feminine | 5, Somewhat Feminine | 6, Feminine | 7, Totally Feminine",,,,,,,y,,,,,
tmfs_ideal,tmfs,,radio,"Ideally, I would like to be...","1, Totally Masculine | 2, Masculine | 3, Somewhat Masculine | 4, Neither Masculine nor Feminine | 5, Somewhat Feminine | 6, Feminine | 7, Totally Feminine",,,,,,,y,,,,,
tmfs_interest,tmfs,,radio,"Traditionally, my interests would be considered as...","1, Totally Masculine | 2, Masculine | 3, Somewhat Masculine | 4, Neither Masculine nor Feminine | 5, Somewhat Feminine | 6, Feminine | 7, Totally Feminine",,,,,,,y,,,,,
tmfs_attitude,tmfs,,radio,"Traditionally, my attitudes and beliefs would be considered as...","1, Totally Masculine | 2, Masculine | 3, Somewhat Masculine | 4, Neither Masculine nor Feminine | 5, Somewhat Feminine | 6, Feminine | 7, Totally Feminine",,,,,,,y,,,,,
tmfs_behavior,tmfs,,radio,"Traditionally, my behavior would be considered as...","1, Totally Masculine | 2, Masculine | 3, Somewhat Masculine | 4, Neither Masculine nor Feminine | 5, Somewhat Feminine | 6, Feminine | 7, Totally Feminine",,,,,,,y,,,,,
tmfs_appearance,tmfs,,radio,"Traditionally, my outer appearance would be considered as...","1, Totally Masculine | 2, Masculine | 3, Somewhat Masculine | 4, Neither Masculine nor Feminine | 5, Somewhat Feminine | 6, Feminine | 7, Totally Feminine",,,,,,,y,,,,,
gffs_fear_fat,gffs,"Please read each of the following statements and select which best represents your feelings and beliefs",radio,"My biggest fear is of becoming fat.","1, Very untrue | 2, Somewhat untrue | 3, Somewhat true | 4, Very true",,,,,,,y,,,,,
gffs_fear_little_gain,gffs,,radio,"I am afraid to gain even a little weight.","1, Very untrue | 2, Somewhat untrue | 3, Somewhat true | 4, Very true",,,,,,,y,,,,,
gffs_overweight_risk,gffs,,radio,"I believe there is a real risk that I will become overweight someday.","1, Very untrue | 2, Somewhat untrue | 3, Somewhat true | 4, Very true",,,,,,,y,,,,,
gffs_cannot_live,gffs,,radio,"I don't understand how overweight people can live with themselves.","1, Very untrue | 2, Somewhat untrue | 3, Somewhat true | 4, Very true",,,,,,,y,,,,,
gffs_fat_worst,gffs,,radio,"Becoming fat would be the worst thing that could happen to me.","1, Very untrue | 2, Somewhat untrue | 3, Somewhat true | 4, Very true",,,,,,,y,,,,,
gffs_concentrate,gffs,,radio,"If I stopped concentrating on controlling my weight, chances are I would become very fat.","1, Very untrue | 2, Somewhat untrue | 3, Somewhat true | 4, Very true",,,,,,,y,,,,,
gffs_painful_thought,gffs,,radio,"There is nothing that I can do to make the thought of gaining weight less painful and frightening. ","1, Very untrue | 2, Somewhat untrue | 3, Somewhat true | 4, Very true",,,,,,,y,,,,,
gffs_energy_control_weight,gffs,,radio,"I feel like all my energy goes into controlling my weight.","1, Very untrue | 2, Somewhat untrue | 3, Somewhat true | 4, Very true",,,,,,,y,,,,,
gffs_eat_lose_control,gffs,,radio,"If I eat even a little, I may lose control and not stop eating.","1, Very untrue | 2, Somewhat untrue | 3, Somewhat true | 4, Very true",,,,,,,y,,,,,
gffs_stay_hungry,gffs,,radio,"Staying hungry is the only way I can guard against losing control and becoming fat.","1, Very untrue | 2, Somewhat untrue | 3, Somewhat true | 4, Very true",,,,,,,y,,,,,
fps1,fps,"For the following questions, you will see 14 pairs of adjectives sometimes used to describe obese or fat people. For each adjective pair, slide the slider on the continuum to place it at the place closets to how you feel best describes your feelings and beliefs. For this survey, 5 is closest to the word on the left and 1 is closest to the word on the right.",slider,"lazy - industrious","lazy | 3 | industrious",,,,,,,y,RH,,,,
fps2,fps,,slider,"no will power - has will power","no will power | 3 | has will power",,,,,,,y,RH,,,,
fps3,fps,,slider,"attractive - unattractive","attractive | 3 | unattractive",,,,,,,y,RH,,,,
fps4,fps,,slider,"good self-control -- poor self-control","good self-control | 3 | poor self-control",,,,,,,y,RH,,,,
fps5,fps,,slider,"fast - slow","fast | 3 | slow",,,,,,,y,RH,,,,
fps6,fps,,slider,"having endurance - having no endurance","having endurance | 3 | having no endurance",,,,,,,y,RH,,,,
fps7,fps,,slider,"active - inactive","active | 3 | inactive",,,,,,,y,RH,,,,
fps8,fps,,slider,"weak - strong","weak | 3 | strong",,,,,,,y,RH,,,,
fps9,fps,,slider,"self-indulgent -- self-sacrificing","self-indulgent | 3 | self-sacrificing",,,,,,,y,RH,,,,
fps10,fps,,slider,"dislikes food - likes food","dislikes food | 3 | likes food",,,,,,,y,RH,,,,
fps11,fps,,slider,"shapeless - shapely","shapeless | 3 | shapely",,,,,,,y,RH,,,,
fps12,fps,,slider,"undereats - overeats","undereats | 3 | overeats",,,,,,,y,RH,,,,
fps13,fps,,slider,"insecure - secure","insecure | 3 | secure",,,,,,,y,RH,,,,
fps14,fps,,slider,"low self-esteem -- high self-esteem","low self-esteem | 3 | high self-esteem",,,,,,,y,RH,,,,
umb1,umbfat,,radio,"Special effort should be taken to make sure that fat people have the same rights and privileges as other people.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb2,umbfat,,radio,"I would be comfortable having a fat person in my group of friends.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb3,umbfat,,radio,"I find fat people attractive.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb4,umbfat,,radio,"Fat people make good romantic partners.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb5,umbfat,,radio,"Fat people have bad hygiene.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb6,umbfat,,radio,"I find fat people to be sexy.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb7,umbfat,,radio,"Fat people tend towards bad behavior.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb8,umbfat,,radio,"I would not want to have a fat person as a roommate.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb9,umbfat,,radio,"Fat people are a turn-off.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb10,umbfat,,radio,"I find fat people pleasant to look at.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb11,umbfat,,radio,"Special effort should be taken to make sure that fat people have the same salaries as other people.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb12,umbfat,,radio,"Sometimes I think that fat people are dishonest.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb13,umbfat,,radio,"I try to understand the perspective of fat people.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb14,umbfat,,radio,"Special effort should be taken to make sure that fat people have the same educational opportunities as other people.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb15,umbfat,,radio,"In general, fat people don't think about the needs of other people.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb16,umbfat,,radio,"Fat people are sloppy.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb17,umbfat,,radio,"I like fat people.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb18,umbfat,,radio,"Special effort should be taken to make sure that fat people have the same housing opportunities as other people.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb19,umbfat,,radio,"I don't enjoy having a conversation with a fat person.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
umb20,umbfat,,radio,"I would like having a fat person at my place of worship or community center.","1, strongly agree | 2, moderately agree | 3, slightly agree | 4, neither agree nor disagree | 5, slightly disagree | 6, moderately disagree | 7, strongly disagree",,,,,,,y,,,,,
epsi_insruction,epsi,,descriptive,"Below is a list of experiences and problems that people sometimes have. Read each item to determine how well it describes your recent experiences. Then select the option that best describes how frequently each statement applied to you during the past four weeks, including today. ",,,,,,,,,,,,,
epsi_1,epsi,,radio,"I did not like how clothes fit the shape of my body ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_2,epsi,,radio,"I tried to exclude ""unhealthy"" foods from my diet  ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_3,epsi,,radio,"I ate when I was not hungry ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_4,epsi,,radio,"People told me that I do not eat very much ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_5,epsi,,radio,"I felt that I needed to exercise nearly every day   ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_6,epsi,,radio,"People would be surprised if they knew how little I ate ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_7,epsi,,radio,"I used muscle building supplements  ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_8,epsi,,radio,"I pushed myself extremely hard when I exercised","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_9,epsi,,radio,"I snacked throughout the evening without realizing it ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_10,epsi,,radio,"I got full more easily than most people","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_11,epsi,,radio,"I considered taking diuretics to lose weight    ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_12,epsi,,radio,"I tried on different outfits, because I did not like how I looked","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_13,epsi,,radio,"I thought laxatives are a good way to lose weight ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_14,epsi,,radio,"I thought that obese people lack self-control ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_15,epsi,,radio,"I thought about taking steroids as a way to get more muscular","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_16,epsi,,radio,"I used diet teas or cleansing teas to lose weight","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_17,epsi,,radio,"I used diet pills  ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_18,epsi,,radio,"I did not like how my body looked","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_19,epsi,,radio,"I ate until I was uncomfortably full ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_20,epsi,,radio,"I felt that overweight people are lazy","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_21,epsi,,radio,"I counted the calories of foods I ate","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_22,epsi,,radio,"I planned my days around exercising","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_23,epsi,,radio,"I thought my butt was too big","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_24,epsi,,radio,"I did not like the size of my thighs","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_25,epsi,,radio,"I wished the shape of my body was different ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_26,epsi,,radio,"I was disgusted by the sight of an overweight person wearing tight clothes   ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_27,epsi,,radio,"I made myself vomit in order to lose weight ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_28,epsi,,radio,"I did not notice how much I ate until after I had finished eating ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_29,epsi,,radio,"I considered taking a muscle building supplement","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_30,epsi,,radio,"I felt that overweight people are unattractive","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_31,epsi,,radio,"I engaged in strenuous exercise at least five days per week","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_32,epsi,,radio,"I thought my muscles were too small
","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_33,epsi,,radio,"I got full after eating what most people would consider a small amount of food    ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_34,epsi,,radio,"I was not satisfied with the size of my hips","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_35,epsi,,radio,"I used protein supplements","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_36,epsi,,radio,"People encouraged me to eat more ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_37,epsi,,radio,"If someone offered me food, I felt that I could not resist eating it","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_38,epsi,,radio,"I was disgusted by the sight of obese people","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_39,epsi,,radio,"I stuffed myself with food to the point of feeling sick ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_40,epsi,,radio,"I tried to avoid foods with high calorie content ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_41,epsi,,radio,"I exercised to the point of exhaustion","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_42,epsi,,radio,"I used diuretics in order to lose weight ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_43,epsi,,radio,"I skipped two meals in a row ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_44,epsi,,radio,"I ate as if I was on auto-pilot","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
epsi_45,epsi,,radio,"I ate a very large amount of food in a short period of time (e.g., within 2 hours)  ","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,,y,,,,,
efq_fear_wt_gain,efq,,radio,"I fear gaining weight ","1, 1 - Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Very Much so",,,,,,,,,,,,
